u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,access,junction,bridge,tunnel
639279490,1304010102,0,"[192889408, 192889406]",College Avenue,secondary,False,True,62.799,"LINESTRING (-8515121.322351074 4718666.927549578, -8515079.944896346 4718713.410041688, -8515067.510509223 4718727.30041494)",,MD 450,,,,no,
102605356,102579629,0,11510956,Powers Road,residential,False,True,27.854,"LINESTRING (-8515326.896054722 4720011.6836909875, -8515356.251004444 4720032.307098872)",,,,,,no,
5759672918,102587587,0,11507855,Fleet Street,residential,True,False,7.029,"LINESTRING (-8514572.45046977 4718541.314191436, -8514565.30375846 4718535.7581417635)",1,,,,,no,
102572721,7308526358,0,49826105,West Street,primary,False,False,21.172,"LINESTRING (-8515529.130173646 4718544.765244439, -8515555.167802542 4718536.674603356)",2,MD 450,25 mph,,,no,
102572721,102572723,0,11504874,Carroll H Hyson Senior Lane,residential,True,False,64.167,"LINESTRING (-8515529.130173646 4718544.765244439, -8515525.590213839 4718526.163939448, -8515523.497407412 4718511.87289074, -8515522.228365215 4718498.970869077, -8515521.58271217 4718462.684916138)",,,,,,no,
102572721,7308536442,0,49826105,West Street,primary,False,True,28.151999999999997,"LINESTRING (-8515529.130173646 4718544.765244439, -8515498.72882071 4718553.9155524885, -8515494.398492519 4718555.161369717)",2,MD 450,25 mph,,,no,
102572723,102565667,0,11512361,Larkin Street,residential,True,False,65.082,"LINESTRING (-8515521.58271217 4718462.684916138, -8515588.730629016 4718448.751946612, -8515595.610173548 4718447.706616679, -8515603.858947815 4718447.047915681)",,,,,,no,
102572723,10031944164,0,152027145,City Gate Lane,residential,False,False,114.48900000000002,"LINESTRING (-8515521.58271217 4718462.684916138, -8515519.144815322 4718408.5855794335, -8515518.866516596 4718400.308893241, -8515519.28953066 4718389.655175628, -8515523.775706138 4718342.286362419, -8515525.734929176 4718329.3988759555, -8515528.96319441 4718319.303689666, -8515530.2767644 4718316.468447666)",,,,,,no,
102572724,7150276553,0,11509085,Shaw Street,residential,False,False,37.173,"LINESTRING (-8515537.089517238 4718301.791071192, -8515494.910562176 4718279.152154601)",,,,,,no,
102572724,10031944164,0,152027145,City Gate Lane,residential,False,True,12.565,"LINESTRING (-8515537.089517238 4718301.791071192, -8515530.2767644 4718316.468447666)",,,,,,no,
102572724,102565669,0,11509085,Shaw Street,residential,False,True,54.522,"LINESTRING (-8515537.089517238 4718301.791071192, -8515559.509262683 4718312.444696489, -8515572.12176099 4718316.49708647, -8515583.899363117 4718318.745232846, -8515603.79215612 4718321.967099541)",,,,,,no,
12112044738,102608139,0,633517754,Main Street,secondary,True,False,8.987,"LINESTRING (-8514688.578962564 4718460.236263376, -8514699.76657139 4718463.200422059)",2,,,,,no,
12112044750,12112044762,0,534626216,Main Street,secondary,True,False,45.569,"LINESTRING (-8514852.808607332 4718502.293030688, -8514896.935653482 4718513.448055442, -8514909.703999076 4718516.669984003)",1,,,,,no,
12112044751,102585569,0,402077770,Conduit Street,residential,False,False,4.923,"LINESTRING (-8514835.921440577 4718491.49600943, -8514834.19598847 4718497.596181831)",,,,,,no,
12112044751,102585567,0,402077770,Conduit Street,residential,False,True,35.667,"LINESTRING (-8514835.921440577 4718491.49600943, -8514847.554327365 4718447.062235268)",,,,,,no,
12112044756,102585569,0,534626216,Main Street,secondary,True,False,10.413,"LINESTRING (-8514821.193871947 4718494.316980717, -8514834.19598847 4718497.596181831)",1,,,,,no,
12112044759,102572869,0,633517754,Main Street,secondary,True,False,12.725,"LINESTRING (-8514717.87825254 4718468.011811911, -8514733.71901608 4718472.207460281)",2,,,,,no,
12112044762,2916167085,0,534626216,Main Street,secondary,True,False,36.582,"LINESTRING (-8514909.703999076 4718516.669984003, -8514955.378386147 4718528.211656493)",1,,,,,no,
12112044769,102646119,0,11517861,King Charles Place,residential,False,False,56.326,"LINESTRING (-8515040.83835923 4718348.758750687, -8515097.733750975 4718393.750554999)",,,,,,no,
12112044769,102580652,0,11517861,King Charles Place,residential,False,True,5.985,"LINESTRING (-8515040.83835923 4718348.758750687, -8515034.793710882 4718343.976056303)",,,,,,no,
12112044772,102566164,0,367910130,Charles Street,residential,True,False,7.388,"LINESTRING (-8514964.283945413 4718430.494487262, -8514958.27269291 4718437.869064924)",,,,,,no,
12112044787,102585566,0,11507408,Conduit Street,residential,True,False,140.626,"LINESTRING (-8514875.406463962 4718356.534213739, -8514990.744588373 4718216.920453297)",,,,,,no,
12112044797,102566161,0,402077770,Conduit Street,residential,False,True,7.142,"LINESTRING (-8514867.257877236 4718372.457464232, -8514869.606718492 4718363.565070362)",,,,,,no,
12112044797,102585567,0,402077770,Conduit Street,residential,False,False,59.919000000000004,"LINESTRING (-8514867.257877236 4718372.457464232, -8514865.465633435 4718379.230581059, -8514847.554327365 4718447.062235268)",,,,,,no,
12112044799,102566161,0,1075128734,Duke of Gloucester Street,secondary,True,False,8.468,"LINESTRING (-8514877.96681225 4718370.567292902, -8514876.63097836 4718369.450373644, -8514869.606718492 4718363.565070362)",2,,25 mph,,,no,
12112044800,3466680481,0,1075128734,Duke of Gloucester Street,secondary,True,False,25.785,"LINESTRING (-8514865.844119702 4718360.572301876, -8514839.828754704 4718339.937974776)",2,,25 mph,,,no,
12112044802,102566160,0,1075128734,Duke of Gloucester Street,secondary,True,False,6.172,"LINESTRING (-8514792.85192959 4718300.659840131, -8514786.718225647 4718295.60510035)",2,,25 mph,,,no,
12112044803,102566160,0,367911383,Market Street,residential,True,False,7.053,"LINESTRING (-8514792.36212383 4718288.488374672, -8514786.718225647 4718295.60510035)",,,,,,no,
102572869,1304022812,0,11504901,Francis Street,residential,True,False,9.867,"LINESTRING (-8514733.71901608 4718472.207460281, -8514741.24421366 4718482.445995165)",,,,,,no,
102572869,1303929756,0,534626216,Main Street,secondary,True,False,4.657,"LINESTRING (-8514733.71901608 4718472.207460281, -8514739.563289346 4718473.553504837)",1,,,,,no,
102572870,102652281,0,633517753,State Circle,residential,True,False,36.187,"LINESTRING (-8514849.5803421 4718574.722152231, -8514839.594983773 4718583.987045552, -8514822.48517804 4718612.18273125)",,,20 mph,,roundabout,no,
102638412,9834817902,0,11516313,Harwood Place,residential,False,False,98.041,"LINESTRING (-8516239.29286516 4718943.663334975, -8516234.906877223 4718963.726078049, -8516163.194861256 4719041.414090788)",,,,,,no,
102638412,102646581,0,11520008,Glenwood Street,residential,False,False,283.15900000000005,"LINESTRING (-8516239.29286516 4718943.663334975, -8516335.773467831 4718963.396710783, -8516371.195329802 4718970.642793109, -8516387.280996222 4718973.936468604, -8516409.478102688 4718978.476014411, -8516430.005416788 4718982.671874016, -8516508.841880169 4718998.810913317, -8516542.393574694 4719005.670370808, -8516590.249823786 4719015.465512306, -8516596.561638914 4719016.754347418)",,,,,,no,
102638412,4341131050,0,"[11520008, 11517930]","['Glenwood Street', 'Clay Street']",residential,False,True,16.015,"LINESTRING (-8516239.29286516 4718943.663334975, -8516226.736026602 4718941.085683497, -8516219.088377584 4718939.524772642)",,,,,,no,
102605685,3812701976,0,11510994,Arcade Road,residential,False,False,4.647,"LINESTRING (-8514152.809385326 4718881.427555149, -8514148.289814 4718877.503821133)",,,,private,,no,
10031702909,102597968,0,1303091350,Giddings Avenue,residential,False,False,37.893,"LINESTRING (-8516144.40413121 4720278.115571763, -8516177.755450651 4720242.48206827)",,,,,,no,
10031702909,3590614203,0,1303091350,Giddings Avenue,residential,False,True,19.597,"LINESTRING (-8516144.40413121 4720278.115571763, -8516127.160742087 4720296.548225016)",,,,,,no,
9630753847,102584927,0,293941654,East Street,residential,False,False,69.912,"LINESTRING (-8514807.267803648 4718640.96560961, -8514718.267870758 4718654.569486025)",,,,,,no,
9630753847,102584929,0,293941654,East Street,residential,False,True,7.214,"LINESTRING (-8514807.267803648 4718640.96560961, -8514816.451661639 4718639.562263396)",,,,,,no,
