osmid,Latitude,Longitude,highway,ref,geometry
102572156,38.9745999,-76.49153,,,POINT (-8514998.169598408 4718033.8789859805)
102572158,38.975212,-76.490882,,,POINT (-8514926.034568375 4718121.525982104)
102572161,38.9753912,-76.4906874,,,POINT (-8514904.371795466 4718147.1858897265)
3093471527,38.9928052,-76.5027704,,,POINT (-8516249.445202721 4720641.031606718)
3093471570,38.9926332,-76.5029719,,,POINT (-8516271.876080118 4720616.396617341)
3093471573,38.9921378,-76.5030898,,,POINT (-8516285.000648081 4720545.44245342)
3093471587,38.9920808,-76.5019129,,,POINT (-8516153.988739366 4720537.278602873)
639279490,38.9790208,-76.4926363,,,POINT (-8515121.322351074 4718666.927549578)
102605356,38.988411,-76.494483,,,POINT (-8515326.896054722 4720011.6836909875)
5759672918,38.9781436,-76.4877057,,,POINT (-8514572.45046977 4718541.314191436)
102572721,38.9781677,-76.4962997,,,POINT (-8515529.130173646 4718544.765244439)
102572723,38.9775945,-76.4962319,,,POINT (-8515521.58271217 4718462.684916138)
102572724,38.9764709,-76.4963712,,,POINT (-8515537.089517238 4718301.791071192)
12112044738,38.9775774,-76.4887489,crossing,,POINT (-8514688.578962564 4718460.236263376)
12112044750,38.9778711,-76.4902242,crossing,,POINT (-8514852.808607332 4718502.293030688)
12112044751,38.9777957,-76.4900725,crossing,,POINT (-8514835.921440577 4718491.49600943)
12112044756,38.9778154,-76.4899402,crossing,,POINT (-8514821.193871947 4718494.316980717)
12112044759,38.9776317,-76.4890121,crossing,,POINT (-8514717.87825254 4718468.011811911)
12112044762,38.9779715,-76.4907353,crossing,,POINT (-8514909.703999076 4718516.669984003)
12112044769,38.9767989,-76.4919133,crossing,,POINT (-8515040.83835923 4718348.758750687)
12112044772,38.9773697,-76.4912256,crossing,,POINT (-8514964.283945413 4718430.494487262)
12112044787,38.9768532,-76.4904272,crossing,,POINT (-8514875.406463962 4718356.534213739)
12112044797,38.9769644,-76.490354,crossing,,POINT (-8514867.257877236 4718372.457464232)
12112044799,38.9769512,-76.4904502,crossing,,POINT (-8514877.96681225 4718370.567292902)
12112044800,38.9768814,-76.4903413,crossing,,POINT (-8514865.844119702 4718360.572301876)
12112044802,38.976463,-76.4896856,crossing,,POINT (-8514792.85192959 4718300.659840131)
12112044803,38.976378,-76.4896812,crossing,,POINT (-8514792.36212383 4718288.488374672)
102572869,38.977661,-76.4891544,,,POINT (-8514733.71901608 4718472.207460281)
102572870,38.9783769,-76.4901952,,,POINT (-8514849.5803421 4718574.722152231)
102638412,38.9809533,-76.5026792,,,POINT (-8516239.29286516 4718943.663334975)
102605685,38.9805187,-76.483936,,,POINT (-8514152.809385326 4718881.427555149)
10031702909,38.9902713,-76.5018268,,,POINT (-8516144.40413121 4720278.115571763)
9630753847,38.9788395,-76.4898151,crossing,,POINT (-8514807.267803648 4718640.96560961)
3583517820,38.9867608,-76.5010357,,,POINT (-8516056.339282043 4719775.348160592)
3583517821,38.9870787,-76.5001588,,,POINT (-8515958.723220566 4719820.876192392)
3583517825,38.9878528,-76.5012367,,,POINT (-8516078.714499693 4719931.739738348)
3583517854,38.9877692,-76.5020942,,,POINT (-8516174.170963047 4719919.766817994)
2975737037,38.9793332,-76.4853963,stop,,POINT (-8514315.36923773 4718711.663006398)
102638844,38.9899948,-76.5001192,,,POINT (-8515954.314968731 4720238.514841104)
102638943,38.9771533,-76.4844486,,,POINT (-8514209.871756304 4718399.507000128)
102638947,38.9784074,-76.4864169,traffic_signals,,POINT (-8514428.981910033 4718579.089682031)
764814696,38.976587,-76.5023417,,,POINT (-8516201.722537018 4718318.415886531)
2970527134,38.9765171,-76.5026069,,,POINT (-8516231.244465977 4718308.406627519)
5184562690,38.9829686,-76.4864934,,,POINT (-8514437.49785108 4719232.264202655)
5184562694,38.9833118,-76.4873905,,,POINT (-8514537.36256627 4719281.412948538)
5184562695,38.9831523,-76.4881582,,,POINT (-8514622.822539352 4719258.571354311)
5184562697,38.9824346,-76.4870576,,,POINT (-8514500.304307785 4719155.791977402)
8411948946,38.9787616,-76.4978836,,,POINT (-8515705.449115112 4718629.810444569)
1648584953,38.9766539,-76.494727,,,POINT (-8515354.058010476 4718327.995572863)
102639736,38.9733989,-76.4939292,,,POINT (-8515265.247320719 4717861.909218169)
102639738,38.974843,-76.4971238,,,POINT (-8515620.868566008 4718068.688542013)
3812599942,38.9809376,-76.4854394,,,POINT (-8514320.167107785 4718941.415050036)
102607361,38.9785019,-76.5017027,,,POINT (-8516130.5893824 4718592.621876468)
1685291737,38.9746152,-76.4946918,,,POINT (-8515350.139564399 4718036.069793677)
1685291747,38.9760686,-76.4975258,,,POINT (-8515665.619001308 4718244.184363784)
102607662,38.9744505,-76.4962735,,,POINT (-8515526.213602986 4718012.4864180675)
102607664,38.9772333,-76.4942171,,,POINT (-8515297.29620212 4718410.9626220465)
102607666,38.9781905,-76.4931255,,,POINT (-8515175.77984597 4718548.030142138)
102593331,38.9916495,-76.5024259,,,POINT (-8516211.095638143 4720475.505680178)
102593333,38.9931814,-76.5006036,,,POINT (-8516008.238130072 4720694.913693332)
102593334,38.9939249,-76.4997191,,,POINT (-8515909.776040463 4720801.40398656)
102607804,38.9783828,-76.4933164,,,POINT (-8515197.030736761 4718575.567018503)
102607809,38.9780963,-76.4965973,,,POINT (-8515562.258854106 4718534.54096634)
102607811,38.9778777,-76.497543,traffic_signals,,POINT (-8515667.533696547 4718503.238128586)
102607813,38.9775677,-76.4988739,,,POINT (-8515815.688806847 4718458.847261779)
102607815,38.9771139,-76.5005565,,,POINT (-8516002.994982054 4718393.86511109)
102607817,38.9770017,-76.5009429,,,POINT (-8516046.008833297 4718377.798632093)
102575051,38.9808493,-76.4887703,,,POINT (-8514690.961199667 4718928.770246589)
11907935195,38.9919459,-76.5020733,,,POINT (-8516171.844385691 4720517.95751611)
11907935205,38.9928283,-76.5027433,,,POINT (-8516246.428444523 4720644.340147643)
12063911170,38.9826044,-76.4950435,,,POINT (-8515389.29062931 4719180.108364012)
12063911171,38.9824259,-76.4953364,,,POINT (-8515421.896108164 4719154.546086372)
12063911172,38.9823813,-76.4947076,,,POINT (-8515351.898412354 4719148.159107177)
12063911174,38.9821417,-76.4951479,,,POINT (-8515400.91238415 4719113.847063595)
102608139,38.9775981,-76.4888494,,,POINT (-8514699.76657139 4718463.200422059)
102608141,38.9783407,-76.4886422,,,POINT (-8514676.701172898 4718569.538397991)
2916167085,38.9780521,-76.4911456,crossing,,POINT (-8514955.378386147 4718528.211656493)
5566082519,38.9775009,-76.4883344,,,POINT (-8514642.437033629 4718449.281771415)
102580423,38.9809586,-76.4866273,,,POINT (-8514452.403530898 4718944.422310258)
102580425,38.9804953,-76.4859312,,,POINT (-8514374.914033355 4718878.076628925)
639282744,38.9871064,-76.5028343,traffic_signals,,POINT (-8516256.558518184 4719824.843256121)
639282806,38.9818905,-76.4957409,,,POINT (-8515466.924842192 4719077.873960621)
639282830,38.9855609,-76.5002857,,,POINT (-8515972.849663949 4719603.506387391)
11907903295,38.992248,-76.5017139,,,POINT (-8516131.836160699 4720561.225916449)
102576005,38.9796814,-76.4978519,,,POINT (-8515701.920287255 4718761.52523024)
102576009,38.9800585,-76.4978306,,,POINT (-8515699.549182102 4718815.526209321)
102608839,38.9782282,-76.487138,,,POINT (-8514509.254394846 4718553.42868143)
102576071,38.9755621,-76.4861062,,,POINT (-8514394.394944243 4718171.657368815)
102608841,38.9774726,-76.4877917,,,POINT (-8514582.023945976 4718445.229328366)
