,fromnode,tonode,key,linknwid,highway,name,oneway,reversed,length,lanes,maxspeed,ref,access,junction,bridge,tunnel,geometry,inundationDepth,LS_0,DS_0,DS_1,time,recov,mean_downtime,std_downtime
764,10031944168,102584598,0,1303089566,residential,Cathedral Street,0,True,28.373280260225734,,,,,,no,,"LINESTRING (-76.49349460000001 38.9767589, -76.4932439 38.9765942)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
765,10031944170,102584598,0,396308142,residential,South Street,1,False,44.11304103137699,,,,,,no,,"LINESTRING (-76.4929274 38.9769054, -76.4932439 38.9765942)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
766,102552045,102635911,0,11517728,residential,Ramsey Road,0,False,167.38135459179944,,,,,,no,,"LINESTRING (-76.4897136 38.9884869, -76.4898678 38.9886516, -76.4900166 38.988837, -76.4901119 38.9890153, -76.4901634 38.9891336, -76.4901867 38.9893077, -76.4901974 38.989783, -76.4902242 38.9898958)",13.089298811155063,0.7287463938,0.27125360620000005,0.7287463938,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],"[0.27125361 0.27125361 0.27125382 0.6356268  0.99999979 1.
 1.         1.         1.         1.        ]",2.1862391814,1.3338203107977682
767,102552045,11365456002,0,"[11517728, 11512854]",residential,"['Ramsey Road', 'Ramsey Drive']",0,True,187.11892369041323,,,,,,no,,"LINESTRING (-76.4897136 38.9884869, -76.4896052 38.9883429, -76.4894311 38.9880485, -76.48934800000001 38.9878517, -76.4892926 38.9876557, -76.48911889999999 38.9870175, -76.48914619999999 38.9868874)",13.511554029184085,0.7326035323,0.26739646770000003,0.7326035323,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],"[0.26739647 0.26739647 0.26739668 0.63369823 0.99999979 1.
 1.         1.         1.         1.        ]",2.1978105969,1.3278031521509057
768,10137915981,2098730878,0,11507757,residential,McNair Road,0,False,48.04047398631706,,,,,,no,,"LINESTRING (-76.4857367 38.9858171, -76.4853943 38.9858984, -76.48531079999999 38.9858495, -76.48523640000001 38.9858058)",13.73894449730466,0.7346198632,0.26538013680000005,0.7346198632,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],"[0.26538014 0.26538014 0.26538035 0.63269007 0.99999979 1.
 1.         1.         1.         1.        ]",2.2038595895999995,1.324606553074488
769,10137915981,7185334298,0,"[436237643, 11507757]",residential,"['McNair Road', 'Sims Road']",0,True,167.58800902580379,,,,,,no,,"LINESTRING (-76.4857367 38.9858171, -76.4864735 38.985642, -76.48650170000001 38.9856163, -76.48718359999999 38.9849943, -76.4872519 38.9850158)",13.809748482304316,0.7352393338,0.26476066620000005,0.7352393338,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],"[0.26476067 0.26476067 0.26476088 0.63238033 0.99999979 1.
 1.         1.         1.         1.        ]",2.2057180014,1.3236173712708792
770,102584924,2971465762,0,293941654,residential,East Street,0,False,71.7844498281294,,,,,,no,,"LINESTRING (-76.4875313 38.9791194, -76.4867113 38.9792215)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
771,102584924,102584926,0,293941654,residential,East Street,0,True,97.6807579859453,,,,,,no,,"LINESTRING (-76.4875313 38.9791194, -76.48864709999999 38.9789804)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
772,102584924,102620127,0,294005889,residential,Prince George Street,1,False,205.00731849662793,,,,,,no,,"LINESTRING (-76.4875313 38.9791194, -76.48936759999999 38.9802862)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
773,102584926,102584924,0,293941654,residential,East Street,0,False,97.6807579859453,,,,,,no,,"LINESTRING (-76.48864709999999 38.9789804, -76.4875313 38.9791194)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
774,102584926,102584927,0,293941654,residential,East Street,0,True,32.25962955092847,,,,,,no,,"LINESTRING (-76.48864709999999 38.9789804, -76.4890156 38.9789345)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
775,102584926,12112019682,0,11518798,residential,Pinkney Street,0,True,153.32731824382657,1,,,,,no,,"LINESTRING (-76.48864709999999 38.9789804, -76.48735499999999 38.9785027, -76.48727479999999 38.9784612, -76.4872323 38.9784339, -76.48721500000001 38.9784203, -76.487189 38.9783999, -76.4871555 38.9783625, -76.48714029999999 38.9783083)",1.5165038309392944,0.4270472325,0.5729527675,0.4270472325,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],"[0.57295277 0.57295277 0.57295289 0.78647638 0.99999988 1.
 1.         1.         1.         1.        ]",1.2811416975,1.4839479549774852
776,102584927,5759672918,0,11507855,residential,Fleet Street,1,False,143.37017377267,1,,,,,no,,"LINESTRING (-76.4890156 38.9789345, -76.48770570000001 38.9781436)",0.5872802934942261,0.2970550423,0.7029449577,0.2970550423,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],"[0.70294496 0.70294496 0.70294504 0.85147248 0.99999991 1.
 1.         1.         1.         1.        ]",0.8911651269,1.3708830868832276
777,102584927,102584926,0,293941654,residential,East Street,0,False,32.25962955092847,,,,,,no,,"LINESTRING (-76.4890156 38.9789345, -76.48864709999999 38.9789804)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
778,102584927,9630753847,0,293941654,residential,East Street,0,True,69.91192277987251,,,,,,no,,"LINESTRING (-76.4890156 38.9789345, -76.4898151 38.9788395)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
