,id,geometry
160,12112044787,POINT (-76.4904272 38.9768532)
161,12112044797,POINT (-76.490354 38.9769644)
162,12112044799,POINT (-76.4904502 38.9769512)
163,12112044800,POINT (-76.4903413 38.9768814)
164,12112044802,POINT (-76.4896856 38.976463)
165,12112044803,POINT (-76.48968120000001 38.976378)
166,102572869,POINT (-76.4891544 38.977661)
167,102572870,POINT (-76.4901952 38.9783769)
168,102638412,POINT (-76.5026792 38.9809533)
169,102605685,POINT (-76.483936 38.9805187)
170,10031702909,POINT (-76.5018268 38.9902713)
171,9630753847,POINT (-76.4898151 38.9788395)
172,3583517820,POINT (-76.5010357 38.9867608)
173,3583517821,POINT (-76.50015879999999 38.9870787)
174,3583517825,POINT (-76.50123670000001 38.9878528)
175,3583517854,POINT (-76.5020942 38.9877692)
176,2975737037,POINT (-76.4853963 38.9793332)
177,102638844,POINT (-76.5001192 38.9899948)
178,102638943,POINT (-76.48444859999999 38.9771533)
179,102638947,POINT (-76.48641689999999 38.9784074)
180,764814696,POINT (-76.5023417 38.976587)
181,2970527134,POINT (-76.5026069 38.9765171)
182,5184562690,POINT (-76.4864934 38.9829686)
183,5184562694,POINT (-76.4873905 38.9833118)
184,5184562695,POINT (-76.4881582 38.9831523)
185,5184562697,POINT (-76.4870576 38.9824346)
186,8411948946,POINT (-76.49788359999999 38.9787616)
187,1648584953,POINT (-76.494727 38.9766539)
188,102639736,POINT (-76.4939292 38.9733989)
189,102639738,POINT (-76.4971238 38.974843)
190,3812599942,POINT (-76.4854394 38.9809376)
191,102607361,POINT (-76.5017027 38.9785019)
192,1685291737,POINT (-76.4946918 38.9746152)
193,1685291747,POINT (-76.49752580000001 38.9760686)
194,102607662,POINT (-76.4962735 38.9744505)
195,102607664,POINT (-76.4942171 38.9772333)
196,102607666,POINT (-76.4931255 38.9781905)
197,102593331,POINT (-76.50242590000001 38.9916495)
198,102593333,POINT (-76.50060360000001 38.9931814)
199,102593334,POINT (-76.49971909999999 38.9939249)
200,102607804,POINT (-76.4933164 38.9783828)
201,102607809,POINT (-76.4965973 38.9780963)
202,102607811,POINT (-76.49754299999999 38.9778777)
203,102607813,POINT (-76.49887390000001 38.9775677)
204,102607815,POINT (-76.5005565 38.9771139)
205,102607817,POINT (-76.5009429 38.9770017)
206,102575051,POINT (-76.4887703 38.9808493)
207,11907935195,POINT (-76.50207330000001 38.9919459)
208,11907935205,POINT (-76.50274330000001 38.9928283)
209,12063911170,POINT (-76.49504349999999 38.9826044)
210,12063911171,POINT (-76.4953364 38.9824259)
211,12063911172,POINT (-76.4947076 38.9823813)
212,12063911174,POINT (-76.49514790000001 38.9821417)
213,102608139,POINT (-76.48884940000001 38.9775981)
214,102608141,POINT (-76.4886422 38.9783407)
215,2916167085,POINT (-76.4911456 38.9780521)
216,5566082519,POINT (-76.4883344 38.9775009)
